hash,hash_num
eee0,455553
eec0,334067
ee60,316051
ee40,196897
ef60,103654
6e60,101967
ee80,98925
ef40,98337
eea0,96725
efc0,95596
6ee0,95551
efe0,83837
cee0,80242
cec0,80016
ee20,78657
ee00,63226
ef00,57442
ef80,50961
e660,49322
ef20,48385
6f60,46635
ecc0,43609
6ec0,40640
ece0,40402
eec4,37063
efa0,36412
e6e0,34042
6e40,31869
4ee0,30088
ee44,29804
ee64,29182
ce60,28628
6fe0,27501
ee84,26960
eee4,26933
ce40,26104
e760,25683
cfc0,25128
fe40,24923
6660,23065
ee04,22920
edc0,22795
ee24,22418
6f40,22107
fe00,21501
eea4,21381
fe60,21205
ede0,21132
ef50,21048
ef10,20632
fec0,19237
ee42,18489
cfe0,18374
6e64,18162
ec60,17920
ee48,17719
e6c0,17673
ef90,17603
e640,17496
ee68,17413
ee50,17012
6fc0,16941
6760,16764
cec4,16218
ef30,16169
4e60,15476
eed0,15373
eec2,15353
ec40,15328
ee10,15276
ff00,15099
ee90,15098
ed40,15010
eec8,14816
ccc0,14651
ef70,14237
ee70,14099
ed60,14008
fe80,13807
e740,13714
6ea0,13506
4ec0,13315
6ee4,13298
fee0,13231
6e20,13114
ce80,12761
eef0,12739
efd0,12694
66e0,12662
fe20,12525
ee62,12501
cf40,12280
e7e0,11881
6f20,11875
6f70,11793
ff40,11576
ee30,11546
cee4,11231
cce0,11196
ef04,10847
cf60,10781
e7c0,10723
ecc4,10578
aee0,10561
ee08,10133
ee02,10052
eee2,9909
0ee0,9671
eee8,9613
ec80,9553
eeb0,9317
e664,9010
e620,8976
ee06,8940
4fe0,8935
4f60,8887
cea0,8874
6ec4,8794
ee82,8610
ef44,8572
ef84,8465
ed80,8363
e720,8314
6f50,8314
6e44,8216
e668,8215
efb0,8121
4ee4,7787
6e62,7763
ee46,7714
6f00,7704
6664,7692
ee88,7664
fea0,7592
ee0c,7578
eec1,7496
ef24,7392
6e70,7300
ee28,7231
ff10,7151
8ee0,7139
ee61,7120
ef42,6987
6f30,6987
ce84,6983
ef02,6940
ff80,6914
ecc2,6912
ce44,6893
eca0,6810
ff60,6804
e6a0,6791
4e40,6788
ee22,6777
eff0,6766
ee41,6706
ef08,6702
ee86,6691
cdc0,6661
ee4c,6531
6e80,6514
e770,6483
7e60,6477
6e68,6445
cf80,6361
67e0,6358
ced0,6345
e700,6223
e750,6212
cde0,6180
6e00,6155
6fa0,6154
cec8,6143
c6e0,6103
6e42,6098
efc4,6053
ccc4,6043
f660,6023
4fc0,6018
ef48,6016
6770,5989
6e24,5900
ef64,5862
ed90,5843
cec2,5802
6ce0,5735
ffc0,5709
eee1,5687
ece4,5653
ff20,5648
6e50,5615
fe10,5475
6f80,5467
ce64,5459
ec44,5375
fcc0,5294
edd0,5288
0fe0,5252
ed50,5246
6666,5177
ae60,5174
eec6,5166
7f60,5147
aec0,5127
eda0,5099
2ee0,5097
6f64,5069
cfd0,5038
6f10,5019
4ec4,5010
ec84,5010
e644,4951
4e64,4927
ed00,4901
eea2,4897
ecc8,4864
6ef0,4843
4f40,4816
6ea4,4790
ec42,4762
e730,4755
6662,4738
e710,4690
6740,4690
7e40,4683
fe50,4683
cfa0,4633
ee01,4625
ce42,4612
cf00,4607
ce00,4523
e600,4523
e670,4485
6ee2,4478
ee81,4456
ee6c,4447
ee21,4416
eea8,4403
efa4,4401
f640,4358
6e66,4279
6ee8,4255
ee66,4252
6f44,4249
ed20,4246
dec0,4229
ec00,4225
ec64,4220
e7a0,4217
e680,4207
ce20,4200
cf50,4194
7f40,4181
cef0,4163
6e6c,4161
e648,4134
ecd0,4106
ce90,4075
6ec2,4071
e6e4,4070
7760,4024
fc40,4016
e66c,4002
0ee4,4000
7ee0,3990
6ed0,3969
ecc6,3963
c660,3949
cee2,3924
e6c4,3910
6640,3896
eecc,3867
e624,3833
cf20,3810
ee2c,3807
ef01,3788
c6c0,3787
ed10,3787
afe0,3753
ec46,3753
ee0e,3751
ff50,3726
6ff0,3717
6e48,3701
ef68,3691
e662,3690
66c0,3668
ec20,3659
ce50,3658
e780,3655
6670,3650
dee0,3646
7ec0,3634
cfc4,3625
cea4,3608
6e46,3607
ec86,3605
7f00,3598
6ec8,3593
ffe0,3576
666c,3574
cee8,3570
6e04,3558
fe04,3551
6c60,3546
0ff0,3512
ee26,3511
6fd0,3501
6cc0,3481
67c0,3469
f600,3459
ee14,3459
dfc0,3444
cf90,3430
e642,3416
6e84,3402
6f04,3399
af60,3385
ff90,3383
ece2,3371
6e4c,3341
ccc8,3341
ef41,3337
ce68,3310
cec6,3307
ed42,3292
cce4,3267
ef28,3260
6de0,3253
7660,3250
2fe0,3231
6750,3220
6e30,3205
e4e0,3181
ce48,3176
4f70,3173
ff30,3159
6d60,3158
fce0,3155
fe90,3148
4e70,3143
dfe0,3127
ef82,3113
4e44,3092
6f24,3088
ce62,3079
eae0,3067
edc4,3060
6f90,3041
efe4,3039
efc2,3027
de60,3025
ec50,3009
fe70,3006
f760,3003
fe30,2922
e64c,2921
df40,2900
fe44,2899
0ef0,2889
e460,2879
6fb0,2876
fe08,2863
ccc2,2854
e748,2840
f710,2819
6e61,2814
fc80,2810
4ef0,2804
ce4c,2800
e666,2797
de40,2787
cc60,2786
ce70,2784
eca4,2776
ef06,2766
afc0,2766
ce24,2753
ece8,2751
4ce0,2742
ef88,2734
ce04,2732
ef0c,2725
66e4,2721
efc8,2716
aea0,2709
fed0,2701
6e06,2698
4f50,2696
6668,2695
ed84,2683
ec4c,2666
7f10,2666
ec48,2658
e5e0,2653
ed44,2652
4ff0,2650
ffa0,2642
6f42,2641
ef62,2639
ce46,2634
6764,2624
6e10,2609
6730,2607
6dc0,2605
6720,2605
f740,2600
df60,2598
cf84,2588
fc60,2583
6fc4,2561
cf70,2561
eea1,2559
e724,2548
7f20,2544
6e22,2533
ecf0,2530
cc40,2529
ed70,2527
e790,2525
e650,2521
f6c0,2521
e6a4,2498
e764,2491
fe48,2489
c7e0,2487
ef22,2466
e7d0,2450
cdd0,2443
e60c,2423
ccc6,2419
4fd0,2411
e604,2407
ee8c,2407
e560,2402
c760,2400
e6c2,2395
e768,2393
f620,2385
6f68,2380
cff0,2378
cecc,2365
df00,2363
cccc,2361
7e20,2359
7fc0,2358
7770,2342
0f60,2339
f700,2338
ce86,2336
6f48,2334
eee6,2322
ed64,2319
e6c8,2307
8ec0,2296
8fe0,2295
6f62,2290
e661,2290
6620,2286
e606,2284
ec82,2283
af40,2278
cf10,2272
ddc0,2257
ec68,2254
cf44,2253
4ec2,2245
5f60,2244
ecc1,2241
e646,2224
ef14,2223
eea6,2213
7f50,2212
e628,2209
e6e8,2206
fe02,2203
ee94,2200
fe84,2199
ce88,2198
fc00,2194
4ee2,2172
2e60,2171
0e60,2169
e6d0,2162
e742,2161
ef61,2156
7e00,2154
6eb0,2154
ef21,2134
ed48,2128
ae40,2127
ec06,2119
de80,2115
edc2,2109
ebe0,2105
6fe4,2102
fe01,2102
6e90,2099
6e02,2098
e60e,2093
ec62,2091
f720,2063
7fe0,2054
e6e2,2046
afa0,2042
ef12,2041
e704,2040
6ec6,2037
7740,2037
ee54,2032
e744,2016
e608,2014
ee0a,2001
4ea0,1997
7710,1983
e630,1981
ec90,1979
e4c0,1971
df80,1963
4e62,1957
ed04,1957
aee4,1946
e6f0,1944
ec04,1937
e7f0,1934
4cc0,1929
fd40,1928
6ce4,1924
ec70,1923
4e42,1922
6646,1915
ec0e,1914
ccd0,1906
4ed0,1897
4660,1891
8e60,1889
cec1,1889
4ee6,1888
ec88,1886
66f0,1882
2f60,1882
f6e0,1880
ef81,1876
7f70,1876
8ee4,1874
6ee6,1872
4e66,1871
dcc0,1866
46e0,1865
6ee1,1849
e684,1844
ce82,1841
e610,1836
6f02,1836
7750,1833
eccc,1829
4ec6,1828
ed30,1817
ee34,1811
4e4e,1806
df20,1796
e62c,1791
6e4e,1786
edb0,1779
ee18,1774
dfd0,1768
6644,1761
0f70,1748
8ec4,1746
6fa4,1745
6f84,1731
7ea0,1728
ece6,1714
ce6c,1706
5f40,1705
6ec1,1700
0ee6,1695
4f44,1693
7730,1692
4ee8,1681
4e68,1674
ee12,1670
6e26,1668
ee4e,1663
ec4e,1662
df50,1658
0ec0,1653
6e0e,1652
ee58,1645
fe24,1641
ce10,1639
6f22,1638
cf30,1637
fec4,1636
6c40,1636
de20,1632
cc80,1630
ef34,1629
0fc0,1627
cee6,1626
c7c0,1611
ff04,1606
ce66,1602
4eec,1601
4e50,1600
5ee0,1599
6f06,1599
efc1,1597
cce2,1594
7f30,1592
ea60,1592
cc84,1591
fd00,1584
6762,1579
cd40,1574
4e46,1573
cfb0,1572
4f64,1570
c6e4,1567
fdc0,1564
5fc0,1563
cdc4,1563
6e2c,1562
6e28,1556
6e41,1540
6e0c,1539
4e6c,1533
5fe0,1530
2ec0,1530
ddd0,1525
7e80,1525
f680,1520
ee09,1518
6624,1512
e728,1507
1fe0,1503
ec0c,1502
ec24,1500
e7b0,1495
8fc0,1495
6768,1492
67f0,1490
6642,1489
4ce4,1481
e686,1481
4ec8,1478
6cc4,1477
ef86,1471
e626,1459
ef46,1453
ec66,1451
664e,1450
7720,1447
dce0,1447
eaa0,1445
4e4c,1442
cce8,1441
df90,1436
2ee4,1436
cf24,1435
ef18,1432
6eec,1431
feb0,1431
66a0,1425
aec4,1423
6ecc,1422
ef4c,1421
cf42,1420
cf04,1419
6d40,1418
ee4a,1414
ee52,1414
cd60,1413
6626,1413
7640,1412
ce06,1410
67a0,1408
e706,1400
4760,1400
6742,1395
fe42,1391
ccf0,1386
ceb0,1386
f730,1385
7f80,1378
4ecc,1377
ec08,1373
6700,1372
e702,1371
edc8,1371
5f50,1371
6606,1362
7700,1361
df10,1359
cc44,1358
ee92,1354
af20,1353
ecb0,1353
ce0c,1353
c640,1352
4fe4,1348
be60,1344
cfe4,1340
ef94,1336
f750,1336
0ee8,1333
66c4,1333
6650,1332
8ef0,1327
eb60,1325
0eec,1324
8f60,1324
5ec0,1323
7e50,1321
ed06,1320
c6c4,1320
6e86,1317
fef0,1315
e708,1313
de00,1311
cf48,1310
ec02,1309
ffd0,1308
5e60,1307
bec0,1307
6c64,1302
cf64,1301
6e82,1301
e622,1293
0fd0,1284
ee03,1282
6f61,1281
47e0,1280
eae4,1279
6724,1279
66e8,1277
664c,1277
af80,1277
bee0,1275
c664,1274
edf0,1273
dea0,1270
cee1,1269
4fc4,1268
cfc8,1266
fd60,1264
fe64,1257
cfa4,1255
4de0,1255
4f20,1246
7fd0,1243
f7c0,1243
f650,1241
cfc2,1238
ed02,1235
